Turns,level,HITtype_ID,Worker_ID,Dialogueacts,Responses
8,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A3OWGVIP4VYSPV,Answer.joking,I'd fall down the side of one and end up having to live in a cave.
,,,,,
9,0,---,---,prompt,I love walking along the beach.
,,,,,
9,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
9,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
9,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.continuation,"I agree. I hate leaving the beach as well. Not only do you have the thought of a fun time that's now over, you've got a hole bunch of cleaning up to do."
,,,,,
9,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1FAX797NW6H3D,Answer.continuation,"Yes, not to mention the unpacking and laundry that has to be done too."
,,,,,
9,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.change,I love wearing lots of clothes.
,,,,,
10,0,---,---,prompt,I love walking along the beach.
,,,,,
10,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
10,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
10,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A8MFZOKZ7DV0X,Answer.change,"I've been thinking about Vacation this year, do you plan on taking one? If so, where you going?"
,,,,,
10,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A3GNQDFPZALU92,Answer.change,"I don't know, I'm arguing with my family about it, so I don't even want to talk about it. What I really want to do is take a month off and work on my book. But I don't think I'm going to be able to do that. Let me tell you what I was thinking about in terms of the next chapter, though, okay?"
,,,,,
10,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.continuation,"Yea, what were you thinking about."
,,,,,
11,0,---,---,prompt,I love walking along the beach.
,,,,,
11,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
11,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
11,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A8MFZOKZ7DV0X,Answer.change,"I've been thinking about Vacation this year, do you plan on taking one? If so, where you going?"
,,,,,
11,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A3GNQDFPZALU92,Answer.continuation,"Oh boy, that's a good question. We've been trying to figure it out, but I'm not sure about my work schedule yet, so I don't know how much time I'm gonna have, which is going to determine where we can go. So I don't know, which is driving me crazy a little bit, to be honest."
,,,,,
11,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2RKPHMUAYF2P9,Answer.elaboration,In those cases I just make plans and have work bend around my needs.
,,,,,
12,0,---,---,prompt,I love walking along the beach.
,,,,,
12,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
12,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
12,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A8MFZOKZ7DV0X,Answer.change,"I've been thinking about Vacation this year, do you plan on taking one? If so, where you going?"
,,,,,
12,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A3GNQDFPZALU92,Answer.elaboration,"I'm definitely going to take one. I get a little stir crazy if I don't. Last year, when it got to be around this time of year, I found myself getting so tense all the time, and it finally occurred to me that I was long overdue for some time off. It was affecting my mood in a really significant way."
,,,,,
12,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.joking,"Sometimes, you need a vacation from a vacation though."
,,,,,
13,0,---,---,prompt,I love walking along the beach.
,,,,,
13,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
13,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
13,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A8MFZOKZ7DV0X,Answer.change,"I've been thinking about Vacation this year, do you plan on taking one? If so, where you going?"
,,,,,
13,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A3GNQDFPZALU92,Answer.joking,"Oh yeah, I'm scheduling a trip around the world even as we speak. The only thing standing in the way is the fact that I've already used all my vacation days for my brother's stupid wedding, so no, my round-the-world trip is canceled, thanks for bringing it up."
,,,,,
13,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.change,I love having lots of vacation days at my job.
,,,,,
14,0,---,---,prompt,I love walking along the beach.
,,,,,
14,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
14,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
14,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A8MFZOKZ7DV0X,Answer.elaboration,"I remember two years ago we went to Virginia Beach, and we had sand in our car for six months after that."
,,,,,
14,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A13NOSGEQMNGP8,Answer.continuation,"I know what you mean, you can clean your car forever and the sand just won't come out.  I have found that the best thing to do is try a commercial vacuum at the car wash.  Have you tried that?"
,,,,,
14,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2YE2I9DYV9OKW,Answer.continuation,"Huh, I never thought of that, I guess when I think ""vacuum"" my mind just automatically goes to the thing I use to clean the house, but maybe I could give that a shot."
,,,,,
15,0,---,---,prompt,I love walking along the beach.
,,,,,
15,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
15,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
15,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A8MFZOKZ7DV0X,Answer.elaboration,"I remember two years ago we went to Virginia Beach, and we had sand in our car for six months after that."
,,,,,
15,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A13NOSGEQMNGP8,Answer.elaboration,"I love Virginia Beach and have been there many time  My favorite beaches on the East Coast are up north in Cape Cod, those beaches are beautiful."
,,,,,
15,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.elaboration,"Yea, those beaches have amazing water. They are beautiful"
,,,,,
16,0,---,---,prompt,I love walking along the beach.
,,,,,
16,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
16,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
16,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A18SEIIWQWLKHT,Answer.change,"Yeah but speaking of sand, there's something so comforting about it. It reminds me of visiting Florida to see my grandma as a kid."
,,,,,
16,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A13NOSGEQMNGP8,Answer.change,"I also like to visit the towns along Lake Michigan, they lake is so big it reminds me of the ocean."
,,,,,
16,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A3OWGVIP4VYSPV,Answer.joking,Last time I went with my little niece and my sister. The child kept calling it Lake Missy-Gone.
,,,,,
17,0,---,---,prompt,I love walking along the beach.
,,,,,
17,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
17,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
17,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A18SEIIWQWLKHT,Answer.change,"Yeah but speaking of sand, there's something so comforting about it. It reminds me of visiting Florida to see my grandma as a kid."
,,,,,
17,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A13NOSGEQMNGP8,Answer.continuation,"That must have been a lot of fun visiting your grandma, what else did you guys do besides go to the beach?"
,,,,,
17,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.change,I just wanna live at the beach.
,,,,,
18,0,---,---,prompt,I love walking along the beach.
,,,,,
18,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
18,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
18,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A18SEIIWQWLKHT,Answer.change,"Yeah but speaking of sand, there's something so comforting about it. It reminds me of visiting Florida to see my grandma as a kid."
,,,,,
18,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A13NOSGEQMNGP8,Answer.elaboration,I really like to walk on the beach and find interesting shells and rocks.
,,,,,
18,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.continuation,Sometimes taking long walks is relaxing and is good for your health.
,,,,,
19,0,---,---,prompt,I love walking along the beach.
,,,,,
19,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
19,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
19,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A18SEIIWQWLKHT,Answer.elaboration,"Right, there's nothing fun about cleaning out the car after the beach, but maybe it'd be a good idea to rinse off as best as we can before getting in and lay down towels over the seats?"
,,,,,
19,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.elaboration,It always ends up making the car smelly because it soaks in and it's difficult to get out. If it's really bad you might just have to get the interior detailed.
,,,,,
19,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A3OWGVIP4VYSPV,Answer.elaboration,We use towels to dry off and need to pack extra for the ride home.
,,,,,
20,0,---,---,prompt,I love walking along the beach.
,,,,,
20,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
20,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.elaboration,"The moment I drove back, and opened the car door after getting home sand just started pouring out, castles and all. There were even a few crabs, and some fish. Water and all. I'm sure I must've brought back at least a quarter of the beach with me. On the plus side, now I no longer have to go out to go to the beach. I just open the front door."
,,,,,
20,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.continuation,The way that the salt eats away at your car and all the cleaning you have to do of the seats and the carpets makes you wonder.
,,,,,
20,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1WML1ZP2ISAR7,Answer.change,"My car has rust, I have to find a repair shop."
,,,,,
20,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.joking,Why don't you just google one.
,,,,,
21,0,---,---,prompt,I love walking along the beach.
,,,,,
21,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
21,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.elaboration,"The moment I drove back, and opened the car door after getting home sand just started pouring out, castles and all. There were even a few crabs, and some fish. Water and all. I'm sure I must've brought back at least a quarter of the beach with me. On the plus side, now I no longer have to go out to go to the beach. I just open the front door."
,,,,,
21,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.elaboration,You even find sand in your ears! By the time you've beaten half the Atlantic out of your bag the beach doesn't seem like such a good idea.
,,,,,
21,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.change,I like to watch nature films about the sea though. It's fascinating how diverse life in the water can be. I was watching recently about creatures that live completely in the dark thousands of feet below the surface.
,,,,,
21,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.change,I love watching anything that plays on my TV set.
,,,,,
22,0,---,---,prompt,I love walking along the beach.
,,,,,
22,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
22,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1R3MNDWBBDZ6L,Answer.joking,"Speaking of cars, I'm thinking of getting a new one."
,,,,,
22,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.elaboration,My family has always traded classic cars and I've seen a hundred deals and still it feels intimidating to purchase one.
,,,,,
22,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1U37XNO6J1R9G,Answer.change,I love looking for deals for everything. I got my computer so cheap because of a deal I found online!
,,,,,
22,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,AE3CVK2OYA242,Answer.continuation,"The best time to shop online is black Friday. I've gotten multiple computers and devices on sale as much as 50% off, it just requires patience."
,,,,,
23,0,---,---,prompt,I love walking along the beach.
,,,,,
23,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
23,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1R3MNDWBBDZ6L,Answer.joking,"Speaking of cars, I'm thinking of getting a new one."
,,,,,
23,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.elaboration,My family has always traded classic cars and I've seen a hundred deals and still it feels intimidating to purchase one.
,,,,,
23,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1U37XNO6J1R9G,Answer.continuation,Purchasing a new car can be one of the most intimidating things.
,,,,,
23,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2YE2I9DYV9OKW,Answer.elaboration,The people that sell them have so much more information that it always feels like they have the advantage.
,,,,,
24,0,---,---,prompt,I love walking along the beach.
,,,,,
24,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
24,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1R3MNDWBBDZ6L,Answer.joking,"Speaking of cars, I'm thinking of getting a new one."
,,,,,
